,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
10,439,6,78,128,15,6,On,688,3,514,5,179,6,0.348,10,1724,5,767,5,0.445,15,539,4,422,4,0.783,7,41,4,On/Off Court,26,12,1023.245,4,196,4,469,469,4,14,-69.0,12,2135,5,884,4,158,5,SAC,1610612758,Sacramento Kings,312.0,14,201951,"Lawson, Ty",15,0.366,10,4
11,222,10,40,59,7,10,On,313,10,253,10,87,10,0.344,12,861,10,393,10,0.456,6,169,12,127,11,0.751,13,33,9,On/Off Court,18,6,495.283333333,10,94,10,197,194,10,7,-67.0,11,1000,10,407,10,79,10,SAC,1610612758,Sacramento Kings,137.0,7,203463,"McLemore, Ben",15,0.455,2,4
12,2,16,0,0,1,16,On,7,16,7,16,2,16,0.286,16,12,16,6,16,0.5,3,4,16,3,16,0.75,14,2,15,On/Off Court,2,2,9.05,16,1,16,3,3,16,1,0.0,4,17,16,8,16,1,16,SAC,1610612758,Sacramento Kings,3.0,1,1627834,"Papagiannis, Georgios",0,0.0,15,15
13,24,13,4,3,2,14,On,34,13,26,13,10,13,0.385,2,72,13,38,13,0.528,2,30,13,23,13,0.767,11,8,13,On/Off Court,7,4,46.8083333333,13,6,13,12,22,13,3,-6.0,6,109,13,40,13,10,13,SAC,1610612758,Sacramento Kings,13.0,4,1627781,"Richardson, Malachi",1,0.125,14,13
14,501,2,94,123,14,4,On,728,2,603,2,210,2,0.348,9,1885,2,856,2,0.454,9,602,2,460,2,0.764,12,43,1,On/Off Court,27,15,1119.0,2,206,3,501,501,2,15,-35.0,8,2382,2,934,2,198,2,SAC,1610612758,Sacramento Kings,338.0,15,202066,"Temple, Garrett",16,0.372,6,1
15,314,9,49,73,8,9,On,407,9,372,9,135,8,0.363,6,1133,9,516,9,0.455,8,373,8,286,8,0.767,10,31,10,On/Off Court,19,7,672.055,9,132,9,309,320,9,8,-94.0,13,1453,9,539,9,98,9,SAC,1610612758,Sacramento Kings,209.0,8,201229,"Tolliver, Anthony",12,0.387,4,10
0,712,3,124,137,12,4,On,920,4,1117,4,423,3,0.379,2,2413,4,1141,3,0.473,4,677,4,526,4,0.777,4,44,6,On/Off Court,12,9,1332.28666667,4,306,4,515,546,4,12,265.0,3,3231,4,1226,4,224,4,HOU,1610612745,Houston Rockets,428.0,12,201583,"Anderson, Ryan",32,0.727,5,6
1,876,2,146,158,14,2,On,1124,2,1383,2,502,2,0.363,8,2922,2,1379,2,0.472,5,864,2,669,2,0.774,5,47,1,On/Off Court,13,12,1618.98,2,363,2,620,667,2,14,267.0,2,3929,2,1487,2,275,2,HOU,1610612745,Houston Rockets,513.0,14,2772,"Ariza, Trevor",34,0.723,6,1
2,572,5,98,107,11,5,On,701,5,896,5,329,5,0.367,7,1882,5,880,5,0.468,6,465,5,356,5,0.766,7,33,9,On/Off Court,8,5,1017.60833333,5,237,5,436,428,5,11,204.0,5,2445,5,938,5,199,5,HOU,1610612745,Houston Rockets,304.0,11,201976,"Beverley, Patrick",25,0.758,3,9
3,402,8,77,71,7,7,On,501,9,589,9,222,8,0.377,3,1331,8,622,9,0.467,7,355,9,258,9,0.727,11,47,1,On/Off Court,13,12,742.726666667,9,163,9,350,320,8,9,134.0,8,1724,8,664,9,132,8,HOU,1610612745,Houston Rockets,222.0,7,201147,"Brewer, Corey",34,0.723,6,1
4,11,13,8,4,3,13,On,28,13,27,13,8,13,0.296,13,71,13,25,13,0.352,14,5,14,3,14,0.6,15,13,13,On/Off Court,4,3,39.2183333333,13,6,14,18,6,14,3,-30.0,14,61,13,34,13,6,13,HOU,1610612745,Houston Rockets,12.0,2,201628,"Brown, Bobby",9,0.692,14,13
