,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
113,24.0,25,5,"1032,1610612764",96.8,1.12,59,0.101,71,34,634.411666667,227,169,193,514,0.357,0.149,0.176,1032,Darvin Ham,21,WAS,1610612764,37,0.521
114,30.0,20,5,"128,1610612753",101.1,1.32,143,0.153,77,36,1123.65333333,331,318,399,944,0.225,0.223,0.179,128,David Benoit,35,ORL,1610612753,41,0.532
115,32.0,192,5,"764,1610612759",94.7,4.82,536,0.231,73,23,2459.075,691,505,824,1596,0.511,0.319,0.209,764,David Robinson,64,SAS,1610612759,50,0.685
116,25.0,10,5,"710,1610612751",102.3,0.5,99,0.215,40,22,486.791666667,176,123,176,395,0.222,0.328,0.144,710,David Vaughn,15,NJN,1610612751,18,0.45
117,27.0,30,5,"133,1610612766",102.2,2.83,164,0.069,81,31,2846.715,805,732,967,2435,0.135,0.097,0.285,133,David Wesley,140,CHH,1610612766,50,0.617
118,34.0,3,5,"766,1610612760",98.2,0.89,60,0.117,58,13,543.038333333,187,162,216,436,0.059,0.178,0.181,766,David Wingate,21,SEA,1610612760,45,0.776
119,24.0,1,5,"1545,1610612750",100.9,0.19,8,0.057,34,17,147.816666667,58,39,47,130,0.071,0.088,0.25,1545,DeJuan Wheat,6,MIN,1610612750,17,0.5
120,31.0,133,5,"1051,1610612743",110.3,-0.04,417,0.193,82,71,2630.405,808,714,1041,2324,0.47,0.287,0.137,1051,Dean Garrett,57,DEN,1610612743,11,0.134
121,29.0,23,5,"244,1610612761",106.8,0.74,128,0.09,72,51,1722.64833333,535,622,656,1604,0.095,0.138,0.212,244,Dee Brown,82,TOR,1610612761,21,0.292
122,34.0,4,5,"209,1610612766",103.9,0.78,75,0.091,52,21,970.1,314,274,349,788,0.054,0.132,0.182,209,Dell Curry,31,CHH,1610612766,31,0.596
