C.48,C.pct,C,PID,MP,PG MP,Is Regular Season,Period,Pf.48,PF.pct,PF,PF MP,C MP,SF MP,SG MP,Pg.48,PG.pct,PG,Player,Sf.48,SF.pct,SF,Sg.48,SG.pct,SG,Team,Mins,Pos.Est
-5.685813669,1,21274,Amar'e StoudemireMIAAll1,354.566666667,0,1,All,0,0,0,0,354.566666667,0,0,0,0,0,Amare Stoudemire,0,0,0,0,0,0,MIA,21274,5
5.489645288,0.976,69775,Amir JohnsonBOSAll1,1191.3,0,1,All,0,0.024,1703,28.383333333,1162.916666667,0,0,0,0,0,Amir Johnson,0,0,0,0,0,0,BOS,71478,4.976174487
8.901329601,0.984,17148,Anderson VarejaoCLEAll1,290.566666667,0,1,All,0,0.016,286,4.766666667,285.8,0,0,0,0,0,Anderson Varejao,0,0,0,0,0,0,CLE,17434,4.983595274
3.529675922,1,106888,Andre DrummondDETAll1,1781.466666667,0,1,All,0,0,0,0,1781.466666667,0,0,0,0,0,Andre Drummond,0,0,0,0,0,0,DET,106888,5
0,0,0,Andre IguodalaGSWAll1,1371.733333333,0,1,All,3.113254615,0.146,12026,200.433333333,0,1159.833333333,11.466666667,0,0,0,Andre Iguodala,17.464578244,0.846,69590,0,0.008,688,GSW,82304,3.137757582
0,0,0,Andre MillerMINAll1,269.616666667,269.616666667,1,All,0,0,0,0,0,0,0,-2.314396983,1,16177,Andre Miller,0,0,0,0,0,0,MIN,16177,1
0,0.002,95,Andre RobersonOKCAll1,978.383333333,0.333333333,1,All,13.809938971,0.039,2294,38.233333333,1.583333333,312.8,625.433333333,0,0,20,Andre Roberson,0.920716113,0.32,18768,14.735383467,0.639,37526,OKC,58703,2.40238148
-17.328519856,0.676,25761,Andrea BargnaniBKNAll1,634.916666667,0,1,All,-8.172531215,0.324,12334,205.566666667,429.35,0,0,0,0,0,Andrea Bargnani,0,0,0,0,0,0,BKN,38095,4.676230476
14.866137153,1,55019,Andrew BogutGSWAll1,916.983333333,0,1,All,0,0,0,0,916.983333333,0,0,0,0,0,Andrew  Bogut,0,0,0,0,0,0,GSW,55019,5
0,0.021,687,Andrew NicholsonORLAll1,532.666666667,0,1,All,2.404778727,0.974,31138,518.966666667,11.45,2.25,0,0,0,0,Andrew Nicholson,0,0.004,135,0,0,0,ORL,31960,4.017271589
0,0,0,Andrew WigginsMINAll1,1824.216666667,0.016666667,1,All,-11.745009659,0.043,4659,77.65,0,978.533333333,768.016666667,0,0,1,Andrew  Wiggins,-3.728028342,0.536,58712,-0.749983724,0.421,46081,MIN,109453,2.621536184
125.217391304,0.047,207,Anthony BennettTORAll1,73.833333333,0,1,All,-16.749914471,0.66,2923,48.716666667,3.45,21.666666667,0,0,0,0,Anthony Bennett,-24.369230769,0.293,1300,0,0,0,TOR,4430,3.753273138
0,0,0,Anthony BrownLALAll1,473.816666667,0,1,All,0,0,13,0.216666667,0,441.916666667,31.683333333,0,0,0,Anthony Brown,-0.760324345,0.933,26515,9.089952656,0.067,1901,LAL,28429,2.933588941
0.378051982,0.556,53326,Anthony DavisNOPAll1,1599.05,0,1,All,-4.798085271,0.444,42617,710.283333333,888.766666667,0,0,0,0,0,Anthony Davis,0,0,0,0,0,0,NOP,95943,4.555809178
0,0,0,Anthony MorrowOKCAll1,673.95,0,1,All,0,0,0,0,0,405.516666667,268.433333333,0,0,0,Anthony Morrow,2.840820353,0.602,24331,9.834844157,0.398,16106,OKC,40437,2.601701412
0,0.002,122,Anthony TolliverDETAll1,1025.366666667,0,1,All,2.204560261,0.998,61400,1023.333333333,2.033333333,0,0,0,0,0,Anthony Tolliver,0,0,0,0,0,0,DET,61522,4.00198303
0,0,0,Archie GoodwinPHXAll1,652.133333333,91.75,1,All,0,0.009,335,5.583333333,0,62.8,492,-20.403269755,0.141,5505,Archie Goodwin,3.057324841,0.096,3768,-4.975609756,0.754,29520,PHX,39128,1.972730525
-4.989762167,1,44443,Aron BaynesDETAll1,740.716666667,0,1,All,0,0,0,0,740.716666667,0,0,0,0,0,Aron Baynes,0,0,0,0,0,0,DET,44443,5
0,0,0,Arron AfflaloNYKAll1,1603.95,1.766666667,1,All,0,0,6,0.1,0,343.366666667,1258.716666667,0,0.001,106,Arron Afflalo,-8.247742938,0.214,20602,1.372826821,0.785,75523,NYK,96237,2.213098912
0,0,0,Austin RiversLACAll1,992.816666667,534.7,1,All,0,0,0,0,0,5.9,452.216666667,-8.528146624,0.539,32082,Austin Rivers,0,0.006,354,2.229020013,0.455,27133,LAC,59569,1.46737397
0,0,0,Avery BradleyBOSAll1,1611.883333333,235.316666667,1,All,0,0.002,166,2.766666667,0,96.366666667,1277.433333333,2.447765422,0.146,14119,Avery Bradley,16.437218955,0.06,5782,6.350233541,0.793,76646,BOS,96713,1.917229328
0,0,0,Ben McLemoreSACAll1,1021.3,0,1,All,0,0.008,484,8.066666667,0,310.966666667,702.266666667,0,0,0,Ben McLemore,1.852288563,0.304,18658,1.708752611,0.688,42136,SAC,61278,2.320278077
0,0,0,Beno UdrihMEMAll1,120.433333333,120.366666667,1,All,0,0,0,0,0,0,0.066666667,-8.773193021,0.999,7222,Beno Udrih,0,0,0,0,0.001,4,MEM,7226,1.000553557
0,0,0,Beno UdrihMIAAll1,549.9,549.9,1,All,0,0,0,0,0,0,0,-2.09492635,1,32994,Beno Udrih,0,0,0,0,0,0,MIA,32994,1
0,0,0,Beno UdrihTOTAll1,670.333333333,670.266666667,1,All,0,0,0,0,0,0,0.066666667,-3.294211259,1,40216,Beno Udrih,0,0,0,0,0,4,TOT,40220,1.000099453
3.263503501,1,68834,Bismack BiyomboTORAll1,1147.233333333,0,1,All,0,0,0,0,1147.233333333,0,0,0,0,0,Bismack Biyombo,0,0,0,0,0,0,TOR,68834,5
