,GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,LOC_X,LOC_Y,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
65,21200778,194,2,3:03,,,MISS Noah 5' Turnaround Hook Shot,201149,Joakim Noah,1610612741.0,0,,,0,,,Turnaround Hook Shot,Missed Shot,194,-52,14,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
66,21200778,196,2,2:56,MISS Pierce 26' 3PT Jump Shot,,,1718,Paul Pierce,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,196,43,255,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
67,21200778,202,2,2:36,,,MISS Belinelli  3PT Jump Shot,201158,Marco Belinelli,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,202,230,23,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
68,21200778,215,2,1:54,,,MISS Butler 11' Turnaround Fadeaway Shot,202710,Jimmy Butler,1610612741.0,0,,,0,,,Turnaround Fadeaway shot,Missed Shot,215,-112,0,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
69,21200778,218,2,1:33,Terry 26' 3PT Jump Shot (3 PTS) (Green 1 AST),,,1891,Jason Terry,1610612738.0,201145,Jeff Green,1610612738.0,0,,,Jump Shot,Made Shot,218,116,231,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
70,21200778,225,2,0:57,MISS Terry 1' Driving Layup,,,1891,Jason Terry,1610612738.0,0,,,0,,,Driving Layup Shot,Missed Shot,225,4,4,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
71,21200778,228,2,0:32,Terry  Driving Finger Roll Layup (5 PTS) (Pierce 4 AST),,,1891,Jason Terry,1610612738.0,1718,Paul Pierce,1610612738.0,0,,,Driving Finger Roll Layup Shot,Made Shot,228,-2,-2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
72,21200778,229,2,0:16,,,Teague 1' Driving Layup (5 PTS),203104,Marquis Teague,1610612741.0,0,,,0,,,Driving Layup Shot,Made Shot,229,-2,-5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
73,21200778,237,3,11:36,,,Robinson 27' 3PT Jump Shot (3 PTS) (Hamilton 2 AST),101126,Nate Robinson,1610612741.0,1888,Richard Hamilton,1610612741.0,0,,,Jump Shot,Made Shot,237,-105,247,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
74,21200778,241,3,10:53,,,MISS Deng 19' Jump Shot,2736,Luol Deng,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,241,187,45,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
75,21200778,243,3,10:43,Lee 15' Pullup Jump Shot (7 PTS),,,201584,Courtney Lee,1610612738.0,0,,,0,,,Pullup Jump shot,Made Shot,243,83,123,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
76,21200778,247,3,10:27,,,MISS Boozer 12' Jump Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,247,121,20,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
