,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
70,23.0,0.006,0.014,5,"713,1610612750",55,27,0.528,0.153,0.157,0.166,0.433,0.055,0.001,713,Chris Carr,0.036,0.038,0.037,0.079,MIN,1610612750.0,28,0.509
71,29.0,0.003,0.004,5,"164,1610612752",65,23,0.542,0.129,0.087,0.194,0.352,0.046,0.0,164,Chris Childs,0.011,0.024,0.029,0.039,NYK,1610612752.0,42,0.646
72,32.0,0.027,0.005,5,"201,1610612757",81,33,0.547,0.131,0.132,0.216,0.401,0.062,0.002,201,Chris Dudley,0.039,0.005,0.018,0.064,POR,1610612757.0,48,0.593
73,29.0,0.012,0.015,5,"423,1610612751",47,31,0.533,0.156,0.149,0.191,0.422,0.051,0.002,423,Chris Gatling,0.068,0.037,0.064,0.196,NJN,1610612751.0,16,0.34
74,27.0,0.0,0.0,5,"1137,1610612752",3,1,0.473,0.482,0.096,0.193,0.482,0.096,0.0,1137,Chris Jent,0.145,0.0,0.145,0.0,NYK,1610612752.0,2,0.667
75,27.0,0.007,0.008,5,"168,1610612739",80,39,0.587,0.139,0.104,0.173,0.395,0.038,0.0,168,Chris Mills,0.027,0.02,0.036,0.063,CLE,1610612739.0,41,0.513
76,31.0,0.013,0.009,5,"356,1610612762",73,14,0.552,0.163,0.111,0.203,0.378,0.059,0.0,356,Chris Morris,0.021,0.026,0.034,0.072,UTA,1610612762.0,59,0.808
77,33.0,0.006,0.005,5,"904,1610612744",79,52,0.518,0.158,0.134,0.226,0.467,0.028,0.0,904,Chris Mullin,0.023,0.031,0.038,0.065,GSW,1610612744.0,27,0.342
78,23.0,0.007,0.002,5,"997,1610612763",41,35,0.551,0.151,0.167,0.208,0.526,0.058,0.001,997,Chris Robinson,0.018,0.017,0.023,0.033,VAN,1610612763.0,6,0.146
79,24.0,0.025,0.008,5,"185,1610612764",72,32,0.521,0.143,0.14,0.184,0.424,0.044,0.0,185,Chris Webber,0.05,0.042,0.051,0.164,WAS,1610612764.0,40,0.556
80,25.0,0.002,0.006,5,"43,1610612764",82,38,0.53,0.156,0.127,0.168,0.405,0.045,0.0,43,Chris Whitney,0.017,0.03,0.03,0.048,WAS,1610612764.0,44,0.537
81,27.0,0.011,0.012,5,"363,1610612737",82,26,0.562,0.161,0.122,0.17,0.4,0.045,0.0,363,Christian Laettner,0.044,0.014,0.044,0.111,ATL,1610612737.0,56,0.683
82,29.0,0.015,0.005,5,"359,1610612749",70,45,0.538,0.163,0.181,0.191,0.483,0.065,0.001,359,Chucky Brown,0.034,0.019,0.025,0.074,MIL,1610612749.0,25,0.357
83,26.0,0.014,0.013,5,"221,1610612755",82,60,0.506,0.164,0.175,0.21,0.482,0.03,0.0,221,Clar. Weatherspoon,0.034,0.009,0.024,0.084,PHI,1610612755.0,22,0.268
84,30.0,0.011,0.01,5,"361,1610612757",81,33,0.53,0.127,0.133,0.185,0.417,0.039,0.0,361,Clifford Robinson,0.024,0.019,0.038,0.072,POR,1610612757.0,48,0.593
85,24.0,0.031,0.012,5,"32,1610612761",42,27,0.531,0.147,0.194,0.208,0.47,0.066,0.0,32,Clifford Rozier,0.046,0.027,0.018,0.106,TOR,1610612761.0,15,0.357
86,35.0,0.008,0.009,5,"17,1610612745",62,16,0.519,0.143,0.135,0.184,0.404,0.031,0.0,17,Clyde Drexler,0.025,0.044,0.043,0.091,HOU,1610612745.0,46,0.742
87,28.0,0.013,0.005,5,"916,1610612747",58,18,0.532,0.144,0.146,0.19,0.467,0.058,0.0,916,Corie Blount,0.026,0.026,0.022,0.081,LAL,1610612747.0,40,0.69
88,23.0,0.013,0.014,5,"722,1610612758",79,47,0.529,0.152,0.14,0.199,0.444,0.064,0.0,722,Corliss Williamson,0.041,0.038,0.042,0.158,SAC,1610612758.0,32,0.405
89,24.0,0.006,0.008,5,"724,1610612759",80,60,0.548,0.154,0.159,0.227,0.441,0.052,0.0,724,Cory Alexander,0.016,0.026,0.036,0.043,SAS,1610612759.0,20,0.25
90,35.0,0.002,0.012,5,"378,1610612760",62,17,0.541,0.159,0.097,0.174,0.387,0.042,0.0,378,Craig Ehlo,0.028,0.028,0.034,0.055,SEA,1610612760.0,45,0.726
91,25.0,0.0,0.0,5,"733,1610612749",3,3,0.453,0.033,0.296,0.0,0.329,0.033,0.0,733,Cuonzo Martin,0.0,0.0,0.0,0.0,MIL,1610612749.0,0,0.0
92,28.0,0.016,0.01,5,"905,1610612754",80,41,0.547,0.137,0.146,0.194,0.39,0.043,0.0,905,Dale Davis,0.052,0.014,0.024,0.129,IND,1610612754.0,39,0.488
93,36.0,0.001,0.008,5,"107,1610612743",82,61,0.518,0.16,0.147,0.203,0.481,0.03,0.001,107,Dale Ellis,0.031,0.027,0.033,0.039,DEN,1610612743.0,21,0.256
94,23.0,0.002,0.014,5,"757,1610612761",81,51,0.531,0.157,0.187,0.195,0.46,0.025,0.0,757,Damon Stoudamire,0.022,0.041,0.045,0.078,TOR,1610612761.0,30,0.37
95,31.0,0.006,0.009,5,"105,1610612748",36,9,0.551,0.141,0.098,0.202,0.39,0.031,0.0,105,Dan Majerle,0.031,0.026,0.032,0.052,MIA,1610612748.0,27,0.75
96,38.0,0.016,0.011,5,"7,1610612753",45,20,0.561,0.166,0.18,0.189,0.447,0.068,0.0,7,Dan Schayes,0.047,0.002,0.026,0.044,ORL,1610612753.0,25,0.556
97,30.0,0.004,0.009,5,"344,1610612738",24,18,0.498,0.15,0.168,0.185,0.53,0.022,0.0,344,Dana Barros,0.011,0.052,0.038,0.047,BOS,1610612738.0,6,0.25
98,30.0,0.007,0.005,5,"198,1610612739",82,40,0.584,0.125,0.103,0.174,0.402,0.048,0.001,198,Danny Ferry,0.023,0.008,0.033,0.014,CLE,1610612739.0,42,0.512
99,31.0,0.017,0.006,5,"330,1610612756",77,40,0.523,0.16,0.116,0.185,0.425,0.06,0.0,330,Danny Manning,0.042,0.025,0.04,0.159,PHX,1610612756.0,37,0.481
100,29.0,0.005,0.012,5,"353,1610612753",67,33,0.541,0.147,0.163,0.183,0.449,0.057,0.001,353,Darrell Armstrong,0.023,0.035,0.05,0.06,ORL,1610612753.0,34,0.507
101,26.0,0.001,0.013,5,"239,1610612746",82,46,0.521,0.144,0.145,0.188,0.488,0.043,0.0,239,Darrick Martin,0.025,0.029,0.044,0.077,LAC,1610612746.0,36,0.439
102,25.0,0.003,0.014,5,"241,1610612737",24,7,0.492,0.143,0.125,0.177,0.362,0.052,0.0,241,Darrin Hancock,0.007,0.063,0.049,0.104,ATL,1610612737.0,17,0.708
103,23.0,0.013,0.013,5,"1032,1610612754",36,23,0.518,0.138,0.104,0.22,0.361,0.087,0.0,1032,Darvin Ham,0.027,0.036,0.017,0.092,IND,1610612754.0,13,0.361
104,31.0,0.022,0.011,5,"764,1610612759",6,3,0.55,0.117,0.136,0.165,0.382,0.026,0.0,764,David Robinson,0.07,0.022,0.051,0.213,SAS,1610612759.0,3,0.5
105,24.0,0.026,0.021,5,"710,1610612753",35,18,0.529,0.12,0.201,0.206,0.468,0.07,0.0,710,David Vaughn,0.053,0.029,0.028,0.089,ORL,1610612753.0,17,0.486
106,26.0,0.002,0.01,5,"133,1610612738",74,61,0.501,0.144,0.156,0.184,0.529,0.033,0.0,133,David Wesley,0.018,0.037,0.045,0.069,BOS,1610612738.0,13,0.176
107,33.0,0.003,0.005,5,"766,1610612760",65,16,0.542,0.154,0.127,0.176,0.393,0.06,0.001,766,David Wingate,0.012,0.024,0.034,0.04,SEA,1610612760.0,49,0.754
108,32.0,0.013,0.0,5,"116,1610612749",46,29,0.52,0.098,0.135,0.16,0.41,0.073,0.002,116,David Wood,0.013,0.021,0.021,0.051,MIL,1610612749.0,17,0.37
109,30.0,0.03,0.01,5,"1051,1610612750",68,38,0.535,0.146,0.144,0.184,0.473,0.045,0.001,1051,Dean Garrett,0.047,0.013,0.026,0.112,MIN,1610612750.0,30,0.441
110,28.0,0.006,0.006,5,"244,1610612738",21,17,0.496,0.161,0.103,0.173,0.49,0.042,0.0,244,Dee Brown,0.011,0.013,0.024,0.033,BOS,1610612738.0,4,0.19
111,33.0,0.004,0.007,5,"209,1610612766",68,25,0.548,0.174,0.109,0.164,0.455,0.036,0.0,209,Dell Curry,0.027,0.035,0.044,0.059,CHH,1610612766.0,43,0.632
112,27.0,0.0,0.048,5,"725,1610612753",2,2,0.435,0.0,0.095,0.239,0.477,0.048,0.0,725,Dell Demps,0.0,0.0,0.0,0.0,ORL,1610612753.0,0,0.0
113,36.0,0.005,0.002,5,"23,1610612741",55,7,0.543,0.154,0.112,0.154,0.411,0.044,0.003,23,Dennis Rodman,0.037,0.009,0.012,0.06,CHI,1610612741.0,48,0.873
114,28.0,0.005,0.007,5,"192,1610612753",66,28,0.544,0.155,0.177,0.18,0.47,0.032,0.0,192,Dennis Scott,0.024,0.019,0.033,0.037,ORL,1610612753.0,38,0.576
115,22.0,0.003,0.012,5,"965,1610612747",80,25,0.524,0.143,0.156,0.175,0.441,0.045,0.001,965,Derek Fisher,0.015,0.025,0.035,0.064,LAL,1610612747.0,55,0.688
116,35.0,0.003,0.003,5,"157,1610612742",75,52,0.546,0.157,0.158,0.19,0.424,0.034,0.0,157,Derek Harper,0.009,0.039,0.042,0.056,DAL,1610612742.0,23,0.307
117,29.0,0.005,0.016,5,"400,1610612753",82,37,0.55,0.156,0.184,0.189,0.477,0.049,0.0,400,Derek Strong,0.038,0.013,0.026,0.091,ORL,1610612753.0,45,0.549
118,24.0,0.0,0.0,5,"308,1610612737",2,1,0.468,0.0,0.265,0.088,0.442,0.0,0.0,308,Derrick Alston,0.0,0.0,0.0,0.0,ATL,1610612737.0,1,0.5
119,30.0,0.018,0.014,5,"934,1610612755",57,39,0.508,0.166,0.167,0.219,0.476,0.037,0.0,934,Derrick Coleman,0.051,0.018,0.036,0.117,PHI,1610612755.0,18,0.316
120,30.0,0.011,0.011,5,"365,1610612754",50,26,0.55,0.164,0.144,0.205,0.403,0.048,0.0,365,Derrick McKey,0.022,0.018,0.028,0.066,IND,1610612754.0,24,0.48
121,34.0,0.004,0.007,5,"96,1610612760",61,18,0.533,0.152,0.118,0.183,0.369,0.035,0.001,96,Detlef Schrempf,0.036,0.043,0.051,0.096,SEA,1610612760.0,43,0.705
122,25.0,0.0,0.01,5,"1070,1610612759",6,3,0.499,0.162,0.324,0.333,0.514,0.095,0.0,1070,Devin Gray,0.067,0.019,0.019,0.152,SAS,1610612759.0,3,0.5
123,27.0,0.012,0.023,5,"1121,1610612756",8,5,0.523,0.186,0.233,0.105,0.651,0.035,0.0,1121,Dexter Boney,0.023,0.047,0.023,0.093,PHX,1610612756.0,3,0.375
124,25.0,0.006,0.023,5,"54,1610612741",48,7,0.524,0.176,0.102,0.153,0.427,0.054,0.0,54,Dickey Simpkins,0.023,0.013,0.019,0.059,CHI,1610612741.0,41,0.854
125,31.0,0.049,0.011,5,"87,1610612737",80,26,0.565,0.155,0.12,0.174,0.392,0.043,0.0,87,Dikembe Mutombo,0.052,0.009,0.033,0.128,ATL,1610612737.0,54,0.675
126,30.0,0.028,0.016,5,"129,1610612738",25,19,0.521,0.172,0.163,0.196,0.489,0.04,0.001,129,Dino Radja,0.02,0.028,0.035,0.103,BOS,1610612738.0,6,0.24
127,37.0,0.009,0.02,5,"1122,1610612759",63,49,0.549,0.177,0.156,0.186,0.502,0.027,0.0,1122,Dominique Wilkins,0.056,0.032,0.047,0.142,SAS,1610612759.0,14,0.222
128,27.0,0.007,0.017,5,"931,1610612755",37,26,0.508,0.162,0.169,0.188,0.495,0.046,0.0,931,Don MacLean,0.038,0.042,0.059,0.111,PHI,1610612755.0,11,0.297
