,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
429,32,43,81,0.083,0.112,4,24,20,223.0,385,434,1627755,Tyler Ulis,69,7,PHX,1610612756,4
430,24,33,57,0.063,0.086,2,27,12,327.0,383,344,203092,Tyler Zeller,55,7,BOS,1610612738,15
431,54,70,137,0.116,0.151,6,14,7,247.0,465,526,201936,Tyreke Evans,114,10,NOP,1610612740,7
432,18,38,45,0.017,0.036,3,30,21,824.0,1067,535,2199,Tyson Chandler,49,17,PHX,1610612756,9
433,44,57,110,0.109,0.142,4,23,16,240.0,402,416,1626145,Tyus Jones,78,9,MIN,1610612750,7
434,6,6,13,0.052,0.052,0,13,10,111.0,116,84,2617,Udonis Haslem,14,0,MIA,1610612748,3
435,91,119,219,0.088,0.115,11,34,14,1149.0,1038,1271,203506,Victor Oladipo,172,17,OKC,1610612760,20
436,60,81,139,0.067,0.09,3,36,17,855.0,898,774,1713,Vince Carter,100,18,MEM,1610612763,19
437,48,63,115,0.089,0.117,3,23,9,304.0,538,591,1627735,Wade Baldwin IV,100,11,MEM,1610612763,14
438,32,39,73,0.089,0.109,1,21,16,556.0,358,457,201961,Wayne Ellington,56,6,MIA,1610612748,5
439,19,23,41,0.03,0.036,0,36,13,488.0,637,410,202325,Wesley Johnson,33,5,LAC,1610612746,23
440,81,93,206,0.061,0.07,4,38,26,1355.0,1334,1522,202083,Wesley Matthews,200,8,DAL,1610612742,12
441,67,93,167,0.088,0.122,8,26,15,745.0,762,882,203115,Will Barton,152,18,DEN,1610612743,11
442,10,15,24,0.033,0.049,1,33,20,364.0,304,264,1626161,Willie Cauley-Stein,26,4,SAC,1610612758,13
443,12,16,30,0.042,0.057,1,32,22,437.0,283,212,203186,Willie Reed,30,3,MIA,1610612748,10
444,26,36,60,0.037,0.051,4,35,20,461.0,712,496,1626195,Willy Hernangomez,49,6,NYK,1610612752,15
445,70,95,182,0.064,0.087,5,35,21,1080.0,1092,1100,201163,Wilson Chandler,151,20,DEN,1610612743,14
446,17,22,49,0.076,0.099,3,10,9,151.0,223,262,1627812,Yogi Ferrell,41,2,BKN,1610612751,1
447,116,144,265,0.08,0.099,12,38,27,1417.0,1454,1819,203897,Zach LaVine,225,16,MIN,1610612750,11
448,64,83,162,0.06,0.078,6,36,15,847.0,1069,1090,2216,Zach Randolph,132,13,MEM,1610612763,21
449,76,112,177,0.091,0.134,5,37,5,688.0,837,570,2585,Zaza Pachulia,111,31,GSW,1610612744,32
